frame,class,confidence,x1,y1,x2,y2
449,weed,0.5504,172,484,370,646
451,weed,0.3920,169,477,378,651
452,weed,0.6408,170,474,380,655
453,weed,0.4037,173,476,362,645
454,weed,0.5834,171,467,356,643
455,weed,0.3428,171,485,347,643
456,weed,0.5924,170,464,345,641
457,weed,0.6274,170,469,344,641
458,weed,0.3438,170,463,354,647
459,weed,0.7052,171,478,375,650
460,weed,0.3034,169,485,379,636
461,weed,0.5655,168,478,374,641
462,weed,0.4229,169,477,379,645
463,weed,0.4747,170,478,377,639
464,weed,0.7761,173,476,368,638
465,weed,0.6510,171,469,376,641
466,weed,0.3563,170,476,360,642
467,weed,0.4690,171,482,366,639
468,weed,0.4939,171,498,358,641
469,weed,0.7156,173,510,362,640
470,weed,0.7353,170,469,386,644
471,weed,0.4699,167,468,381,638
472,weed,0.4056,166,471,381,636
473,weed,0.6949,166,472,382,637
474,weed,0.6639,167,462,380,638
475,weed,0.4919,167,474,389,639
476,weed,0.7076,167,480,384,636
477,weed,0.6817,167,478,385,639
478,weed,0.7038,168,477,385,638
479,weed,0.4412,167,473,367,636
480,weed,0.6718,167,477,363,639
481,weed,0.6533,169,485,365,639
482,weed,0.6313,167,487,388,636
483,weed,0.5596,166,478,394,647
484,weed,0.6195,167,484,381,642
485,weed,0.6901,166,484,383,638
486,weed,0.5036,165,483,395,639
488,weed,0.4607,169,487,373,635
489,weed,0.4750,169,486,371,639
490,weed,0.2946,170,485,358,634
491,weed,0.4206,169,487,368,636
492,weed,0.4831,168,485,388,638
493,weed,0.6801,168,486,371,643
494,weed,0.7380,169,488,370,641
495,weed,0.5694,166,478,393,642
496,weed,0.7400,169,471,388,640
497,weed,0.7455,170,467,386,638
498,weed,0.6541,168,464,393,639
499,weed,0.4042,167,478,392,642
500,weed,0.6965,166,482,389,636
501,weed,0.7025,166,479,386,636
502,weed,0.6630,168,479,383,636
503,weed,0.6806,168,483,369,642
504,weed,0.7129,167,484,369,644
505,weed,0.6873,168,471,392,640
506,weed,0.6381,169,466,390,640
507,weed,0.6212,170,466,381,642
508,weed,0.6983,169,469,390,640
509,weed,0.7217,168,467,389,639
510,weed,0.5983,168,478,390,636
511,weed,0.5163,169,477,390,634
512,weed,0.5896,168,477,393,641
513,weed,0.6396,169,471,394,638
514,weed,0.6010,166,452,391,644
515,weed,0.5409,172,451,386,640
516,weed,0.5762,169,459,391,644
517,weed,0.7569,168,476,384,640
518,weed,0.7042,166,465,385,641
519,weed,0.7335,168,467,378,640
520,weed,0.6983,169,468,382,641
521,weed,0.6961,169,471,377,638
522,weed,0.4793,169,473,380,641
524,weed,0.2929,173,475,372,641
525,weed,0.3497,172,477,370,639
526,weed,0.5532,170,477,371,639
527,weed,0.6164,169,473,384,642
528,weed,0.3428,172,475,371,643
529,weed,0.4685,169,470,381,643
530,weed,0.4852,167,472,386,639
531,weed,0.6907,168,469,383,639
532,weed,0.7188,168,470,380,639
533,weed,0.4123,168,474,380,643
534,weed,0.6320,168,479,378,642
535,weed,0.6050,166,476,376,641
536,weed,0.6719,172,479,380,632
537,weed,0.6310,178,472,378,648
538,weed,0.6545,200,478,378,623
539,weed,0.6038,199,476,379,625
540,weed,0.5675,205,474,378,625
548,weed,0.5250,197,481,381,626
549,weed,0.6275,204,475,374,633
550,weed,0.6323,210,475,375,634
551,weed,0.5749,216,476,377,631
552,weed,0.6025,224,479,374,626
553,weed,0.2884,228,488,381,623
555,weed,0.3477,242,480,384,623
556,weed,0.4375,258,490,396,616
558,weed,0.4172,259,498,394,616
559,weed,0.5593,256,494,395,616
560,weed,0.6490,246,491,397,631
561,weed,0.2506,244,482,399,630
609,weed,0.2637,280,465,386,548
611,weed,0.2650,276,464,386,548
656,weed,0.3191,217,471,372,601
657,weed,0.5206,216,473,373,602
658,weed,0.3545,221,480,376,606
659,weed,0.2982,222,483,375,610
660,weed,0.4773,221,485,376,610
661,weed,0.4949,220,479,374,606
662,weed,0.5146,213,471,372,603
668,weed,0.2894,204,443,368,589
671,weed,0.3252,209,479,367,593
678,weed,0.2546,190,434,356,579
680,weed,0.3692,198,468,365,594
681,weed,0.2900,197,463,364,596
682,weed,0.3677,186,436,358,587
683,weed,0.2697,176,431,357,585
685,weed,0.3212,166,415,355,568
686,weed,0.3110,166,413,354,567
687,weed,0.3044,166,424,351,569
688,weed,0.2726,171,430,350,571
689,weed,0.3470,170,427,349,569
690,weed,0.3541,165,425,350,572
691,weed,0.3293,167,436,350,571
692,weed,0.3087,165,438,349,572
693,weed,0.2658,162,441,349,574
694,weed,0.3336,160,432,347,577
695,weed,0.3775,167,448,342,573
696,weed,0.2922,158,452,343,586
697,weed,0.2676,160,454,338,586
698,weed,0.3372,153,457,330,585
699,weed,0.4351,146,451,328,589
700,weed,0.3875,139,444,326,582
701,weed,0.5369,148,438,331,571
702,weed,0.4045,143,433,332,576
703,weed,0.5322,138,446,327,587
704,weed,0.4676,133,452,332,601
705,weed,0.4791,134,468,331,614
706,weed,0.4358,133,467,334,612
707,weed,0.5125,127,461,332,611
708,weed,0.4874,129,458,331,607
709,weed,0.4888,129,451,327,588
710,weed,0.3537,121,447,326,588
711,weed,0.4473,122,435,323,572
712,weed,0.4047,118,424,327,564
712,weed,0.2701,46,587,571,1070
713,weed,0.4196,117,424,328,563
713,weed,0.2755,46,585,572,1070
714,weed,0.3918,115,432,325,570
714,weed,0.2639,46,594,572,1070
715,weed,0.4340,114,426,323,570
715,weed,0.2579,47,593,572,1070
716,weed,0.4269,114,426,322,568
716,weed,0.2562,46,594,572,1070
717,weed,0.4326,111,426,322,569
718,weed,0.3718,107,423,323,569
719,weed,0.2692,98,424,321,567
719,weed,0.2577,49,576,574,1070
720,weed,0.2746,96,423,321,568
721,weed,0.4056,91,416,318,567
733,weed,0.3376,3,261,207,451
734,weed,0.4327,2,280,206,460
735,weed,0.5492,3,295,194,544
736,weed,0.7548,1,309,186,561
737,weed,0.6907,0,320,173,575
738,weed,0.5931,0,335,174,588
739,weed,0.4204,1,338,164,584
740,weed,0.6537,0,344,161,595
741,weed,0.6414,1,350,155,595
742,weed,0.4698,2,361,161,597
743,weed,0.6682,1,371,159,603
744,weed,0.4091,0,372,168,612
776,weed,0.3353,20,407,230,650
781,weed,0.2577,37,406,245,650
782,weed,0.2733,38,407,247,650
783,weed,0.2788,39,406,249,650
784,weed,0.2586,38,403,252,651
785,weed,0.2953,40,408,257,652
786,weed,0.2996,43,406,253,650
787,weed,0.3388,46,409,262,651
788,weed,0.2888,43,406,265,652
789,weed,0.3230,43,405,268,653
793,weed,0.2937,61,396,273,638
794,weed,0.3217,63,392,270,634
795,weed,0.3475,65,391,271,631
796,weed,0.3393,66,390,272,633
797,weed,0.4214,66,391,273,633
798,weed,0.4933,66,390,280,637
799,weed,0.4547,66,397,280,642
799,weed,0.2993,60,453,576,1060
800,weed,0.4782,61,402,286,649
800,weed,0.2995,55,475,577,1060
801,weed,0.5355,59,409,283,655
802,weed,0.3563,57,406,289,658
803,weed,0.4210,52,409,289,663
803,weed,0.2834,46,591,572,1071
804,weed,0.3494,42,411,289,658
805,weed,0.5935,37,409,272,662
806,weed,0.5614,36,407,260,658
807,weed,0.5710,27,407,246,661
808,weed,0.5889,26,408,246,660
809,weed,0.4366,23,408,240,661
810,weed,0.5457,24,411,231,660
811,weed,0.4978,18,414,227,658
812,weed,0.4611,15,415,225,659
813,weed,0.3986,13,416,223,659
818,weed,0.3097,60,616,578,1073
819,weed,0.3451,53,611,568,1073
820,weed,0.3496,60,609,579,1073
821,weed,0.3111,62,612,581,1072
822,weed,0.2655,61,609,584,1073
823,weed,0.2546,63,606,584,1073
832,weed,0.3202,67,595,580,1070
833,weed,0.3717,52,600,568,1073
834,weed,0.3939,51,602,567,1073
835,weed,0.3353,55,607,563,1072
836,weed,0.4079,55,606,571,1071
837,weed,0.4039,54,601,573,1072
838,weed,0.3884,55,604,575,1072
839,weed,0.2863,60,621,580,1072
842,weed,0.3147,72,588,580,1071
843,weed,0.2780,75,585,581,1072
847,weed,0.2640,62,618,581,1073
848,weed,0.3174,55,612,571,1073
849,weed,0.3176,54,614,569,1073
850,weed,0.3474,55,613,568,1072
851,weed,0.3637,56,609,571,1071
852,weed,0.3375,65,605,581,1072
853,weed,0.2993,73,602,580,1070
875,weed,0.2936,31,777,563,1078
876,weed,0.2502,45,757,570,1078
877,weed,0.2613,53,736,563,1077
